stop_id stop_code stop_name stop_lat stop_lon
343 poi3463611 Mairie_de_Champlan 48.707683 2.273874
344 poi3463612 Moulin_de_la_Bretèche 48.707359 2.260157
345 poi3463613 Hôtel_de_Ville 48.70227 2.314311
346 poi3463600 Bièvre/Poterne 48.73767 2.272386
347 poi3463601 Les_Graviers 48.727127 2.251019
348 poi1816593 Emile_Zola 48.736816 2.262722
349 poi3463602 Gare_de_Massy-Verrières_RER 48.734577 2.272957
350 poi3463603 Jean_Mermoz 48.729518 2.28074
351 poi3463604 Paul_Bailliart 48.731616 2.281747
352 poi1302196 Grand_Dôme 48.688621 2.230988
353 poi1302199 Mairie 48.683425 2.236833
354 poi1302202 Chemin_vert 48.678531 2.239886
355 poi1302206 Poitevine 48.67498 2.221193
356 poi3463615 Pierre_Longue 48.698284 2.246081
357 poi3463619 Résidence_du_Parc_-_Mairie 48.698795 2.225836
358 poi3463620 Les_Casseaux 48.700355 2.220427
359 poi3463621 Place_des_Suisses 48.69997 2.214751
360 poi3463622 Av._du_Général_de_Gaulle 48.699504 2.210546
361 poi3463623 Stade_de_Rugby_-_Poincaré 48.701961 2.209867
362 poi3463608 Hôtel_de_Ville 48.672275 2.32435
363 poi3463609 Stade 48.669898 2.321351
364 poi3463607 Les_Laurentes 48.667919 2.317801
